file,n,ok_MSL,ok_ANNMAX,overall_ok,notes
neah_bay_wa-558a-usa-uhslc_rq_annual.csv,84,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
new_york_ny-745a-usa-uhslc_rq_annual.csv,78,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2"
newport-8452660-usa-noaa_annual.csv,83,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=2"
noumea-019-fra-uhslc_fd_annual.csv,57,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
ominato-hd04-jpn-jodc_jcg_aligned_annual.csv,53,False,False,False,"MSL:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=1 | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=1"
oshoro-gs04-jpn-jodc_giaj_annual.csv,87,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
oura-ma47-jpn-jodc_jma_annual.csv,54,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=4"
pago_pago-056-asm-uhslc_fd_annual.csv,70,False,False,False,"MSL:gappy_years,level_shift_years=2011 | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=6"
pago_pago-056a-asm-uhslc_rq_annual.csv,67,False,False,False,"MSL:gappy_years,level_shift_years=2013 | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=6"
pensacola-8729840-usa-noaa_annual.csv,97,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=5,outlier_spike_n=2"
pensacola_fl-762-usa-uhslc_fd_annual.csv,96,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=5,outlier_spike_n=3"
pensacola_fl-762a-usa-uhslc_rq_annual.csv,92,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=5,outlier_spike_n=4"
port_isabel-8779770-usa-noaa_annual.csv,76,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3"
port_isabel_tx-772a-usa-uhslc_rq_annual.csv,70,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3"
port_san_luis-9412110-usa-noaa_annual.csv,67,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=2"
port_san_luis_ca-565a-usa-uhslc_rq_annual.csv,60,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=2"
portland-8418150-usa-noaa_annual.csv,108,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2"
providence-8454000-usa-noaa_annual.csv,73,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=2"
queen_charlotte_city-9850-can-meds_annual.csv,58,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=2"
