filename,AIC_s,BIC_s,AIC_ns,BIC_ns,LRT_stat,LRT_p,beta1,gamma1,slope_MSL,errMSL,slope_res,errresid
honolulu_hawaii-057b-usa-uhslc_rq_annual,677.54,685.67,782.39,795.94,-100.85,1.000000000,-0.092328,0.000000,0.155601568,0.010416910,-0.169836484,0.062472507
hornbaek-838a-dnk-uhslc_rq_annual,992.89,1001.07,1013.98,1027.62,-17.09,1.000000000,0.640279,0.000000,0.036020016,0.012055696,0.694487078,0.331839993
hornbaek-hor-dnk-dmi_annual,1127.03,1135.54,1139.36,1153.54,-8.33,1.000000000,0.586461,0.000000,0.046525289,0.009810456,0.552158483,0.331735819
hosojima-gs02-jpn-jodc_giaj_annual,719.63,726.96,719.40,731.61,4.23,0.120452580,0.764947,0.000000,0.006281848,0.017617288,0.790841826,0.386882654
ishigaki-365-jpn-uhslc_fd_annual,473.11,479.13,480.77,490.81,-3.66,1.000000000,-0.537628,0.000000,0.249472474,0.023408592,-0.513899432,0.436709601
ishigaki-365a-jpn-uhslc_rq_annual,457.80,463.71,465.15,475.00,-3.35,1.000000000,-0.430278,0.000000,0.237313881,0.023513856,-0.417303361,0.480687467
ishigaki-ma45-jpn-jodc_jma_annual,456.54,462.45,464.27,474.12,-3.73,1.000000000,-0.441749,0.000000,0.237520303,0.023483132,-0.417803869,0.482291594
izuhara-hd23-jpn-jodc_jcg_aligned_annual,465.94,472.32,513.12,523.76,-43.19,1.000000000,0.680441,0.000000,0.272227847,0.017764396,0.391293920,0.214674029
johnston-052-usa-uhslc_fd_annual,559.01,565.71,586.04,597.21,-23.03,1.000000000,-0.624988,0.000000,0.125558966,0.018811901,-0.448498745,0.358177622
johnston-052a-usa-uhslc_rq_annual,505.96,512.34,529.06,539.69,-19.10,1.000000000,-0.481880,0.000000,0.110225346,0.022086564,-0.277949315,0.432180420
kagoshima-ma42-jpn-jodc_jma_annual,455.73,461.53,481.50,491.16,-21.77,1.000000000,0.273016,0.000000,0.474762876,0.025286656,0.120171378,0.439792445
kahului-059-usa-uhslc_fd_annual,431.08,437.69,500.33,511.35,-65.25,1.000000000,0.149893,0.000000,0.220124321,0.020267421,0.046866319,0.093564660
kahului-059a-usa-uhslc_rq_annual,403.70,410.13,472.42,483.13,-64.72,1.000000000,0.235099,0.000000,0.222074098,0.021887894,0.092762326,0.095235738
kahului-1615680-usa-noaa_annual,441.30,447.73,509.66,520.38,-64.36,1.000000000,-0.144309,0.000000,0.220504987,0.022408519,-0.029037787,0.140821882
kainan-gs05-jpn-jodc_giaj_annual,537.86,544.47,573.38,584.40,-31.53,1.000000000,-0.072746,0.000000,-0.131814129,0.025907707,0.017619420,0.385706895
kamaishi-hd05-jpn-jodc_jcg_aligned_annual,453.11,459.45,457.24,467.79,-0.13,1.000000000,-0.010084,0.000000,0.705674860,0.028532707,0.008472950,0.074081481
kashiwazaki-gs08-jpn-jodc_giaj_annual,460.05,466.43,465.85,476.49,-1.80,1.000000000,0.410599,0.000000,0.112570866,0.017826611,0.375038187,0.314585430
kaskinen-kas-fin-cmems_annual,426.87,432.78,430.21,440.06,0.66,0.719462350,0.373984,0.000000,0.002402733,0.062111680,0.389243740,0.203257865
katsuura-gs11-jpn-jodc_giaj_annual,468.99,475.02,492.48,502.52,-19.49,1.000000000,0.481139,0.000000,0.155832446,0.022837927,0.307643200,0.732697762
kemi-kem-fin-cmems_annual,449.29,455.08,467.83,477.49,-14.54,1.000000000,1.103086,0.000000,0.047281435,0.071676849,0.868642182,0.336600272
key_west-8724580-usa-noaa_annual,742.28,750.36,837.47,850.93,-91.19,1.000000000,0.052524,0.000000,0.263616857,0.008178453,-0.030085021,0.067613087
key_west_fl-242-usa-uhslc_fd_annual,742.50,750.57,838.76,852.22,-92.26,1.000000000,0.051040,0.000000,0.263692583,0.008262656,-0.028785098,0.067514132
key_west_fl-242a-usa-uhslc_rq_annual,711.05,719.01,809.18,822.45,-94.13,1.000000000,0.003351,0.000000,0.254455055,0.007878131,-0.103354726,0.073770504
klagshamn-2095-swe-smhi_annual,823.48,830.98,831.25,843.75,-3.77,1.000000000,0.433409,0.000000,0.092521229,0.018376719,0.433178562,0.456894258
klagshamn-kla-swe-cmems_annual,822.74,830.24,830.15,842.64,-3.41,1.000000000,0.441363,0.000000,0.092431380,0.018375335,0.433775188,0.456672290
komatsushima-ma36-jpn-jodc_jma_annual,465.50,471.57,501.51,511.63,-32.01,1.000000000,0.377381,0.000000,0.232369047,0.038018256,0.537578041,0.444794636
kornwerderzand_buiten-kornwdzbtn-nld-rws_hist_annual,512.42,517.97,521.19,530.44,-4.77,1.000000000,-0.400587,0.000000,0.203027268,0.042901801,-0.027785642,1.417578342
kozushima-hd09-jpn-jodc_jcg_aligned_annual,415.61,421.40,430.55,440.21,-10.94,1.000000000,-0.083334,0.000000,0.865926255,0.230614388,-0.061761696,0.065312006
kristiansund-ksu-nor-nhs_annual,534.83,541.54,536.84,548.01,1.99,0.369759412,0.620422,0.000000,0.052412903,0.022673735,0.552673834,0.285003901
kristiansundtg-kri-nor-cmems_annual,552.28,559.06,553.27,564.59,3.00,0.222985238,0.664934,0.000000,-0.030567091,0.022236218,0.556020516,0.306639623
