filename_x,AIC_s,BIC_s,AIC_ns,BIC_ns,LRT_stat,LRT_p,beta1,slope_MSL,errMSL,slope_res,errresid,filename_y,n_years,completeness,longitude,latitude,country
fernandina_beach-8720030-usa-noaa_annual,964.92,972.94,966.41,977.10,0.51,0.474540021,-0.113700,0.237659005,0.012421608,-0.035523348,0.175487729,fernandina_beach-8720030-usa-noaa,116,0.9814,-81.465833,30.671389,USA
fishguard-fis-gbr-bodc_annual,359.93,365.29,358.11,365.24,3.83,0.050371602,0.540578,0.316487339,0.039392060,0.536636560,0.303466676,fishguard-fis-gbr-bodc,59,2.6909,-4.98375,52.013222,GBR
foglo_degerby-134252-fin-fmi_annual,405.71,411.68,406.42,414.38,1.29,0.255538508,0.220914,-0.057892947,0.055957624,0.311960267,0.184161389,foglo_degerby-134252-fin-fmi,55,0.9898,20.38,60.03,FIN
fort_denison-333-aus-uhslc_fd_annual,368.70,374.88,369.96,378.20,0.74,0.389668822,-0.133610,0.160481527,0.020347986,-0.196512777,0.191668289,fort_denison-333-aus-uhslc_fd,59,1.0247,151.233,-33.85,AUS
fort_denison-333a-aus-uhslc_rq_annual,350.31,356.33,350.52,358.55,1.79,0.181526970,-0.221024,0.137054618,0.020691000,-0.331860918,0.220486069,fort_denison-333a-aus-uhslc_rq,55,1.0371,151.227,-33.855,AUS
fort_myers-8725520-usa-noaa_annual,439.45,445.06,444.09,451.58,-2.65,1.000000000,0.309264,0.386350252,0.032422934,0.897810813,0.451958540,fort_myers-8725520-usa-noaa,57,0.9862,-81.871,26.648,USA
fort_pulaski-8670870-usa-noaa_annual,738.65,745.90,738.75,748.43,1.90,0.168518645,0.240398,0.360848225,0.015253478,0.079354565,0.206727827,fort_pulaski-8670870-usa-noaa,91,0.9884,-80.9017,32.0367,USA
fort_pulaski_ga-752-usa-uhslc_fd_annual,741.79,749.05,740.67,750.35,3.11,0.077600327,0.306421,0.360013575,0.015427898,0.113915689,0.205781635,fort_pulaski_ga-752-usa-uhslc_fd,91,0.9897,-80.902,32.033,USA
fort_pulaski_ga-752a-usa-uhslc_rq_annual,709.99,717.10,709.97,719.45,2.02,0.155198199,0.284012,0.342473331,0.015198084,0.157817644,0.250590258,fort_pulaski_ga-752a-usa-uhslc_rq,87,0.995,-80.902,32.033,USA
freeport-8772440-usa-noaa_annual,448.22,453.96,450.02,457.67,0.20,0.656358722,-0.059706,0.904993490,0.066710419,-0.054583330,0.193483740,freeport-8772440-usa-noaa,55,0.9821,-95.3083,28.9483,USA
fremantle-62230-aus-bom_annual,823.41,831.56,824.69,835.56,0.72,0.396328810,0.082309,0.168315833,0.013911223,0.029804991,0.113345469,fremantle-62230-aus-bom,121,0.9548,115.7395,-32.0558,AUS
friday_harbor-9449880-usa-noaa_annual,641.24,648.64,643.24,653.10,0.00,0.966486974,-0.006737,0.113517015,0.012316654,-0.046385044,0.200585306,friday_harbor-9449880-usa-noaa,91,0.9907,-123.012889,48.545306,USA
